,actual_home_win,pred_home_win,pred_home_win_proba
29645,0,0,0.4233009837135212
34646,1,1,0.5392504944242555
31096,1,1,0.5187154491793489
28813,1,1,0.5217497590397168
33098,1,1,0.6717446296943288
30421,1,0,0.36280836389049625
29047,0,0,0.4564945656766385
30063,1,1,0.6000652499652005
31385,1,1,0.6350441362563936
34902,0,1,0.5059294439348176
30089,1,0,0.29368103702245185
27606,0,0,0.49780366402276555
34566,0,0,0.32946097102367217
29095,1,1,0.6497166014138336
29524,1,1,0.7886125971274326
33147,1,0,0.3433912313627305
35232,1,1,0.5473943311922909
30504,0,1,0.5545885352655013
31601,0,1,0.5083542689973986
34338,0,0,0.33395810972285106
32530,0,0,0.47315370475990676
27928,0,0,0.3846919193035784
28381,0,1,0.5505425532296465
33850,0,0,0.4796700534614077
32220,1,0,0.4397027380897443
30225,1,1,0.617534456151176
35409,1,1,0.6851794721447294
30428,0,0,0.3545998553809894
33848,0,0,0.4674307869545644
28546,1,0,0.440794518277512
27599,0,0,0.470507632965988
27742,1,1,0.662093880352953
30383,1,1,0.6559575468006771
34635,1,0,0.3298769576286119
29223,1,0,0.4214583312148531
31847,1,0,0.38634353190854837
32834,0,1,0.5582398916353446
27385,1,1,0.6658405063827212
30885,1,1,0.662670934316851
33191,0,0,0.4819930380977806
28545,1,1,0.7798305051613567
28259,0,0,0.4844090575328289
35366,0,0,0.43871794253400376
31895,0,1,0.5085140665935493
29329,0,1,0.5669420313341095
29714,0,0,0.47412643457008746
33028,1,1,0.6033458420778168
31000,1,0,0.48616820567059366
29899,0,1,0.5753243993906149
32647,0,1,0.6509825179789217
29765,0,1,0.518224236110893
31927,0,1,0.5065503263208968
27652,1,1,0.5207373612847015
28736,0,0,0.4896865103753835
31174,1,1,0.7179855504408177
30680,1,1,0.6616232695072394
29523,1,1,0.7628980966145665
31691,1,1,0.687843025521755
35192,1,1,0.6773809937064114
30893,0,1,0.5267272604545067
27932,1,1,0.6462473049500049
33821,1,1,0.6833056440885511
31577,1,1,0.7111538742298431
34542,0,0,0.4416053459671441
35302,0,0,0.35284075854614266
33893,0,0,0.4049967410256901
28088,1,1,0.5614606314051062
28795,0,1,0.6593515512824781
32743,1,1,0.6000646060798466
32123,0,0,0.4285172715194484
31471,1,1,0.5215528510451519
29454,1,1,0.7715082240716723
32191,0,1,0.634648127750792
30173,1,0,0.4238910225526736
34078,1,1,0.5910773790859551
35169,1,1,0.5417841989711218
35364,0,1,0.5596308116650116
28601,1,0,0.39050325924392426
34361,1,1,0.7129997182834599
28803,0,0,0.4651893885577633
30251,1,1,0.5740139139327871
33237,1,1,0.8001774683559121
35312,0,0,0.4402698805762274
28263,0,0,0.3449965377818275
34711,1,1,0.6619221895020871
34623,0,1,0.614391647738386
34944,1,0,0.46565287243028636
28716,1,1,0.6479888473720774
32218,1,0,0.41471579557863697
31598,1,0,0.4615858323552
30385,1,1,0.6113339106409732
33103,0,0,0.36977098867392727
28641,1,1,0.5629652656251583
33341,1,1,0.5391354866992634
28242,0,1,0.5724970677945505
29963,1,1,0.5264713132210614
27333,1,1,0.678329481984618
31756,1,1,0.5998883037482535
32603,0,0,0.3819230161278476
27814,1,1,0.6422968731257671
34030,1,1,0.5099292361618987
31026,0,1,0.5252275571519719
34166,1,1,0.6406645714774564
33137,0,1,0.5228864227195783
33513,1,0,0.45724253484727917
35370,1,1,0.6391295348906446
34963,1,1,0.5193668556536166
31473,1,0,0.4429780099612017
30179,0,1,0.7229898355937245
33253,1,1,0.6832117169391182
30717,1,1,0.6077792535307985
30180,0,1,0.6091902063058329
35396,1,1,0.6936739529557125
33375,1,0,0.3491408851789613
27131,1,1,0.724922742107204
30908,1,1,0.5457258673295559
34928,0,0,0.4778528695370012
30036,0,0,0.4970768208592016
28150,0,0,0.2761986575666364
31819,0,1,0.585943333161495
35163,0,0,0.46281488713117597
32451,0,1,0.540658715722812
30248,0,0,0.31750284828240427
28229,0,1,0.6560943863367104
31896,0,1,0.5418250387335682
28682,1,1,0.7322383959751602
33270,0,1,0.6204967726028944
34996,0,1,0.5975137286902238
31885,0,1,0.5176346352445101
34457,1,0,0.37865900028673427
35184,0,0,0.38579625604632406
35078,1,1,0.59195133655225
29180,1,1,0.7385839634812278
30691,1,0,0.495427248066154
32924,1,1,0.5378941066445324
34799,0,0,0.23402665286626115
34100,1,1,0.5434261676634535
29208,1,1,0.6836377316215677
29730,0,0,0.49177583535828484
29353,1,1,0.7276293927658436
